circRNA	Position	Function	Gene	Gene Description	PMID
hsa_circRNA_103889	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GFM2	G elongation factor mitochondrial 2	28368401
hsa_circRNA_103911	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ADGRV1	adhesion G protein-coupled receptor V1	28368401
hsa_circRNA_103929	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ALDH7A1	aldehyde dehydrogenase 7 family member A1	28368401
hsa_circRNA_103942	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SEC24A	SEC24 homolog A, COPII coat complex component	28368401
hsa_circRNA_103944	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage); oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SEC24A	SEC24 homolog A, COPII coat complex component	26931159;28368401;28624198
hsa_circRNA_103948	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103951	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	-	-	28520103
hsa_circRNA_103974	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	28710406
hsa_circRNA_103982	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RBM27	RNA binding motif protein 27	28368401
hsa_circRNA_103998	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_103999	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]	-	-	28206972
hsa_circRNA_104003	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	-	-	28520103
hsa_circRNA_104047	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	28368401
hsa_circRNA_104055	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RREB1	ras responsive element binding protein 1	28368401
hsa_circRNA_104062	-	Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)]	RANBP9	RAN binding protein 9	28349836
hsa_circRNA_104081	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	CASC15	cancer susceptibility 15	28368401;28710406
hsa_circRNA_104099	chr6:35195356-35201078	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3	27606420;28368401
hsa_circRNA_104100	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	DEF6	DEF6, guanine nucleotide exchange factor	28368401
hsa_circRNA_104107	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	BICRAL	BRD4 interacting chromatin remodeling complex associated protein like	28368401
hsa_circRNA_104109	chr6:42819829-42821476	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_104126	chr6:53365044-53365148	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GCLC	glutamate-cysteine ligase catalytic subunit	27606420;28368401
hsa_circRNA_104133	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_104134	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_104146	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	IBTK	inhibitor of Bruton tyrosine kinase	28368401
hsa_circRNA_104152	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	SNX14	sorting nexin 14	28368401;28624198
hsa_circRNA_104158	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SIM1	single-minded family bHLH transcription factor 1	28368401
hsa_circRNA_104161	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	28368401
hsa_circRNA_104165	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	BVES	blood vessel epicardial substance	28368401
hsa_circRNA_104166	chr6:105563560-105573453	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	BVES	blood vessel epicardial substance	27606420;28368401
hsa_circRNA_104168	-	Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)]	RTN4IP1	reticulon 4 interacting protein 1	28349836
hsa_circRNA_104169	chr6:107824860-107827631	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	SOBP	sine oculis binding protein homolog	27465405
hsa_circRNA_104204	-	Colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)]	AIG1	androgen induced 1	28349836
hsa_circRNA_104212	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	STXBP5	syntaxin binding protein 5	28368401
hsa_circRNA_104226	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	28368401
hsa_circRNA_104227	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_104233	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SCAF8	SR-related CTD associated factor 8	28368401
hsa_circRNA_104308	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ZDHHC4	zinc finger DHHC-type containing 4	28368401
hsa_circRNA_104310	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. matched non-tumor tissue)]	-	-	28520103
hsa_circRNA_104315	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	ISPD	isoprenoid synthase domain containing	28368401;28624198
hsa_circRNA_104323	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	MACC1	MACC1, MET transcriptional regulator	28368401
hsa_circRNA_104325	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ITGB8	integrin subunit beta 8	28368401
hsa_circRNA_104333	chr7:24663284-24690331	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	MPP6	membrane palmitoylated protein 6	27465405
hsa_circRNA_104342	chr7:33185853-33217203	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_104351	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	GLI3	GLI family zinc finger 3	28368401
hsa_circRNA_104357	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	DBNL	drebrin like	28368401
hsa_circRNA_104374	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	GRB10	growth factor receptor bound protein 10	28368401;28624198
hsa_circRNA_104382	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	ASL	argininosuccinate lyase	28368401
hsa_circRNA_104387	-	Diabetic retinopathy [differential expression (type 2 diabetes mellitus with proliferative diabetic retinopathy sample vs. either the type 2 diabetes mellitus without diabetic retinopathy or control samples)]	GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	28817829
hsa_circRNA_104426	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	SLC25A13	solute carrier family 25 member 13	28368401
hsa_circRNA_104448	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	FAM185A	family with sequence similarity 185 member A	28368401
hsa_circRNA_104468	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_104493	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	MKLN1	muskelin 1	28368401
hsa_circRNA_104508	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_104515	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	AGK	acylglycerol kinase	28368401
hsa_circRNA_104536	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	LMBR1	limb development membrane protein 1	28368401
hsa_circRNA_104543	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]	-	-	26931159
hsa_circRNA_104549	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	WDR60	WD repeat domain 60	28368401
hsa_circRNA_104551	chr8:9437668-9437893	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	TNKS	tankyrase	27606420;28368401;28710406
hsa_circRNA_104569	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	PPP3CC	protein phosphatase 3 catalytic subunit gamma	28368401
hsa_circRNA_104575	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage)]; colorectal cancer [differential expression (normal vs. malignant colorectal cancer tissues)]	EPHX2	epoxide hydrolase 2	26931159;28349836
hsa_circRNA_104588	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RAB11FIP1	RAB11 family interacting protein 1	28368401
hsa_circRNA_104589	-	Gastric cancer [differential expression (gastric cancer vs. adjacent normal tissues)]; oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	RAB11FIP1	RAB11 family interacting protein 1	28206972;28368401
hsa_circRNA_104598	-	Colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)]	KAT6A	lysine acetyltransferase 6A	28349836
hsa_circRNA_104600	-	Osteoarthritis [differential expression (osteoarthritis vs. normal cartilage); oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	VDAC3	voltage dependent anion channel 3	26931159;28368401
hsa_circRNA_104625	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	28710406
hsa_circRNA_104635	chr8:66582107-66582253	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	MTFR1	mitochondrial fission regulator 1	27465405
hsa_circRNA_104642	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	CSPP1	centrosome and spindle pole associated protein 1	28368401;28624198
hsa_circRNA_104653	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_104670	-	hsa_circRNA_104670 plays a critical role in intervertebral disc degeneration by functioning as a ceRNA.	-	-	30089772
hsa_circRNA_104682	chr8:125332326-125343033	Preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	-	-	27606420
hsa_circRNA_104687	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]; hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	FAM49B	family with sequence similarity 49 member B	28368401;28710406
hsa_circRNA_104703	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_104704	-	Hepatocellular carcinoma [differential expression (hepatocellular carcinoma vs. paired pericancerous tissues)]	-	-	28710406
hsa_circRNA_104714	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	DENND3	DENN domain containing 3	28368401
hsa_circRNA_104729	chr9:4117767-4118881	Esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]	GLIS3	GLIS family zinc finger 3	27465405
hsa_circRNA_104744	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	MLLT3	MLLT3, super elongation complex subunit	28368401
hsa_circRNA_104745	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	FOCAD	focadhesin	28368401
hsa_circRNA_104755	-	Osteoarthritis [differential expression (cartilage affected by osteoarthritis)]	-	-	28624198
hsa_circRNA_104756	-	Oral cancer [differential expression (oral squamous cell carcinomas tissue vs. control)]	UBAP2	ubiquitin associated protein 2	28368401
